,0
0,Ap
1,E
2,Vg
3,Lt
4,Qd
5,Apto
7,A
9,Bl
10,B
11,Cj
12,Vaga
13,Jd
14,Box
16,Vgs
20,Cs
23,Vl
25,C
34,Torre
36,Casa
37,Bx
41,-
45,Bloco
46,Pt
49,An
53,D
58,Ss
67,Ap.
71,M
79,S
89,Sl
90,Fds
91,P
94,G
97,F
98,Gr
102,Prq
106,N
108,Loja
109,Conj
111,I
117,Lote
128,And
132,J
136,R
137,H
141,Gar
142,T
145,Apt
146,Dep
149,Sala
155,Pte
162,Lj
164,Vagas
166,Par
167,Cid
173,Ed
177,Ant
178,Dp
180,L
186,Lt.
188,Antigo
190,Tipo
193,Garagem
197,Es
198,Garage
203,Terreo
205,Esc
207,Ao
209,Sao
212,K
214,V
216,Q
217,Jto
218,Sta
225,Ii
226,Sa
229,Ind
233,Qd.
237,Do
238,Andar
254,Sub
256,Solo
259,Rua
263,Quadra
264,O
265,Pr
266,Lts
268,Vg.
271,Qda
281,Esq
283,Evg
285,Matr
300,Fd
304,Bl.
305,/
306,Apto.
308,Itaim
311,.
313,Da
321,Escritorio
322,Tr
323,Maria
325,Subsolo
328,Carvalho
335,De
338,Pq
342,Ma
343,Mat
349,Desc
354,Sto
373,Indet
385,Das
390,Dupla
393,Nova
396,Chac
399,Re
