,0
R,2819050
De,513244
Av,506628
Da,167653
Dr,143987
Do,125749
Jose,125686
Antonio,100724
Joao,86953
Dos,83003
Francisco,62366
Al,61442
Prof,54480
Silva,48640
Tv,44526
Maria,43031
Pde,41779
Luis,40128
Carlos,38088
Das,37807
S,37758
Pereira,36556
Manuel,35042
Santos,33953
Joaquim,33645
Barros,31710
Lima,31041
Oliveira,29672
Pedro,28343
Ribeiro,27721
Alves,27587
Pc,26657
Eng,26321
Cel,26273
Almeida,24819
Es,23921
Carvalho,23913
Rodrigues,23650
Costa,22871
Azevedo,22863
Ferreira,22412
Br,22304
Sta,21722
Vieira,21113
Sousa,21070
Gomes,20980
Miguel,20805
Paulo,20698
Melo,20603
Gal,20197
Brig,19855
Pinto,19637
Vicente,19045
Dias,18590
Souza,18331
Magalhaes,18123
E,17988
Domingos,17782
Lopes,17553
Filho,17438
Paulista,17335
Dom,17120
Rio,16974
Garcia,16938
Cons,16668
Luiz,16656
Sto,16352
Campos,16271
Morais,16204
Coelho,15715
Martins,15549
Soares,15469
Machado,15441
Augusto,15077
Faria,14766
Mario,14429
Dona,14416
Cardoso,14309
Afonso,14245
Araujo,14088
Castro,13890
Fernandes,13880
Serra,13824
Andrade,13701
Bueno,13529
Rocha,13458
Jorge,13395
Leite,13325
Junior,13281
Freitas,12961
Celso,12896
Moreira,12578
Nova,12577
Min,12469
Correia,12469
Guilherme,12449
Nsra,12346
Cruz,12287
Frei,12196
Marq,12027
Diogo,11925
Goncalves,11881
Ramos,11841
Raimundo,11531
Prado,11360
Franco,11053
Sampaio,11033
Sao,10969
Oscar,10947
Alexandre,10943
Henrique,10936
Sen,10810
Alfredo,10807
Mal,10787
Cintra,10775
Maj,10615
Barbosa,10528
Vergueiro,10492
Cunha,10472
Alberto,10398
Bento,10393
Batista,10375
Amaral,10345
Fonseca,10291
Freire,10254
Teixeira,10215
Guimaraes,10135
Amaro,10120
Manoel,9951
Julio,9933
Cap,9836
Cesar,9765
Moura,9719
Tavares,9690
Visc,9501
Mendes,9480
Toledo,9460
Artur,9332
Alvaro,9297
Eugenio,9295
Monte,9212
Pires,9160
Benedito,9007
Julho,8938
Sebastiao,8938
Eduardo,8753
Monteiro,8728
Paula,8690
Peixoto,8642
Heitor,8618
Coutinho,8441
Pedroso,8424
Desem,8423
Nove,8401
Xavier,8387
Conceicao,8372
Profa,8241
Lobo,8175
Bela,8154
Pinheiro,8079
Miranda,8074
Arruda,8069
Aguiar,8063
Consolacao,8058
Salvador,7964
Inacio,7868
Veiga,7796
Campo,7791
Borges,7752
Marques,7713
Andre,7703
Comen,7682
Gabriel,7624
Emilio,7593
Abreu,7539
Alvares,7519
Reis,7499
Silveira,7437
Franca,7397
Cachoeira,7361
Giovanni,7321
Angelica,7295
Porto,7255
Angelo,7185
Patria,7092
Teodoro,7065
Leme,7045
Vinte,6980
Albuquerque,6954
Fagundes,6936
Lins,6935
Brito,6908
Neto,6864
Rosa,6860
Roberto,6821
Lisboa,6796
Barreto,6772
Candido,6644
Queiros,6631
Arlindo,6600
Vasconcelos,6582
Nelson,6454
Raposo,6403
Velho,6396
Torres,6341
Vila,6333
Lourenco,6316
Lacerda,6301
Carneiro,6207
Nicolau,6200
Voluntarios,6079
Cd,6030
Camargo,6025
Oratorio,5972
Tte,5960
Alegre,5910
Interlagos,5889
Duarte,5877
Grande,5859
Con,5836
Itu,5833
Mota,5795
Branco,5783
Paes,5765
Alvarenga,5751
Casa,5714
Armando,5693
Agostinho,5673
Queiroz,5670
Bernardo,5648
Siqueira,5633
Viana,5630
Dep,5614
Lagoa,5611
Geraldo,5541
Tomas,5515
Nogueira,5488
Estevao,5488
Caneca,5467
Jardim,5458
Adolfo,5432
Augusta,5428
Assis,5395
Barra,5387
Sul,5375
Alm,5371
Mateus,5356
Roque,5353
Simao,5287
Antunes,5272
